DATE,GOLD_PRICE,SILVER_PRICE,GPRD,GPRD_ACT,GPRD_THREAT,PLATINUM_PRICE,PALLADIUM_PRICE,COPPER_PRICE,ALUMINUM_PRICE,NICKEL_PRICE,ZINC_PRICE
1985-01-02,305.5,6.15,115.68,146.77,87.44,320.0,70.0,0.65,0.55,2.4,0.4
1985-01-03,302.3,6.09,97.43,158.94,29.46,317.6459843498805,69.45543172265103,0.6580768722015009,0.546304610649252,2.3698182769242626,0.39575735430743475
1985-01-04,303.1,6.03,157.37,156.88,157.03,315.23967880195835,70.46657788325396,0.6596849676326155,0.5435450500802053,2.4166533343811967,0.39652398040545356
1985-01-07,298.2,5.8,105.31,57.27,143.3,312.5079454802309,68.49831922695235,0.657403376210918,0.5420738407788127,2.3879118547766773,0.3863615522190195
1985-01-08,302.0,6.01,87.4,34.85,130.82,319.4441445128967,68.43775088722786,0.6701278862552892,0.5479487389945473,2.4290763155265767,0.3798542775557463
1985-01-09,300.5,6.01,121.4,103.74,129.79,311.80824476084285,65.8100349950376,0.6751853288696669,0.5465432744319755,2.3810228019760884,0.3734670097426817
1985-01-10,303.8,6.14,140.63,77.89,181.9,311.1934496193038,67.732525022488,0.6832030965556461,0.5493042096758728,2.3427721442232903,0.3715492481199561
1985-01-11,304.2,6.11,94.85,130.93,72.81,312.01460500388,67.85519242973594,0.6805839237199806,0.5521556858918385,2.3434330997689305,0.368755330599107
1985-01-14,299.0,5.94,211.64,183.47,229.54,305.77579893665336,66.77284501794904,0.6672598007925105,0.5533356328115276,2.308370648726985,0.36488030681270756
1985-01-15,301.8,6.05,97.17,105.68,102.83,308.58874107202655,66.60124003598638,0.6730826805228829,0.5500751127115416,2.3218639879440115,0.3652338432070951
1985-01-16,302.7,6.09,106.33,114.16,95.22,306.9202608203556,68.22340853340972,0.6699549732713687,0.5528349824903322,2.3436223516529635,0.36212763211596083
1985-01-17,305.5,6.18,54.69,62.31,38.98,312.46809439241383,70.046328367507,0.6793737646751513,0.5539749676082593,2.3652839857752563,0.3632370334631858
1985-01-18,308.0,6.26,111.21,63.35,132.11,317.46272495768255,70.55517879649332,0.6836082375566829,0.5520197411172303,2.3618821574950575,0.36656463434301445
1985-01-21,307.2,6.28,138.41,183.98,76.73,316.8703193591167,69.69431088117447,0.6768530670201627,0.5482601484046921,2.326215688618469,0.3673470912394655
